path,q_1,a_1,q_2,a_2,q_3,a_3,q_4,a_4
./datasets/csv/data_file_001.csv,What is the average age in the dataset?,39.51,What is the correlation between weight and caloric intake?,-0.06664026263298933,What is the highest caloric intake and what is their name?,"(5912, 'Brenda')",What is the highest age with a caloric intake less than 2000?,66
./datasets/csv/data_file_002.csv,What is the average age in the dataset?,39.91,What is the correlation between weight and caloric intake?,-0.04373528561951783,What is the highest caloric intake and what is their name?,"(5988, 'Pedro')",What is the highest age with a caloric intake less than 2000?,68
./datasets/csv/data_file_003.csv,What is the average age in the dataset?,39.81,What is the correlation between weight and caloric intake?,-0.0705079216592295,What is the highest caloric intake and what is their name?,"(5994, 'Scott')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_004.csv,What is the average age in the dataset?,36.91,What is the correlation between weight and caloric intake?,0.06147565378131628,What is the highest caloric intake and what is their name?,"(5957, 'Brian')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_005.csv,What is the average age in the dataset?,37.2,What is the correlation between weight and caloric intake?,-0.20928735699109502,What is the highest caloric intake and what is their name?,"(5924, 'Amanda')",What is the highest age with a caloric intake less than 2000?,68
./datasets/csv/data_file_006.csv,What is the average age in the dataset?,40.56,What is the correlation between weight and caloric intake?,0.11848931229446828,What is the highest caloric intake and what is their name?,"(5945, 'Vanessa')",What is the highest age with a caloric intake less than 2000?,62
./datasets/csv/data_file_007.csv,What is the average age in the dataset?,42.35,What is the correlation between weight and caloric intake?,0.0326500447027511,What is the highest caloric intake and what is their name?,"(5944, 'Brenda')",What is the highest age with a caloric intake less than 2000?,69
./datasets/csv/data_file_008.csv,What is the average age in the dataset?,40.89,What is the correlation between weight and caloric intake?,0.10223731252158046,What is the highest caloric intake and what is their name?,"(5987, 'Jenny')",What is the highest age with a caloric intake less than 2000?,69
./datasets/csv/data_file_009.csv,What is the average age in the dataset?,34.25,What is the correlation between weight and caloric intake?,-0.06691182278804488,What is the highest caloric intake and what is their name?,"(5934, 'Joe')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_010.csv,What is the average age in the dataset?,36.51,What is the correlation between weight and caloric intake?,-0.05401745327555406,What is the highest caloric intake and what is their name?,"(5871, 'Paul')",What is the highest age with a caloric intake less than 2000?,59
./datasets/csv/data_file_011.csv,What is the average age in the dataset?,39.77,What is the correlation between weight and caloric intake?,-0.0016581942514905111,What is the highest caloric intake and what is their name?,"(5911, 'Martha')",What is the highest age with a caloric intake less than 2000?,69
./datasets/csv/data_file_012.csv,What is the average age in the dataset?,41.52,What is the correlation between weight and caloric intake?,-0.10660206058549605,What is the highest caloric intake and what is their name?,"(5992, 'Jay')",What is the highest age with a caloric intake less than 2000?,69
./datasets/csv/data_file_013.csv,What is the average age in the dataset?,43.47,What is the correlation between weight and caloric intake?,-0.14115683934697087,What is the highest caloric intake and what is their name?,"(5957, 'Paula')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_014.csv,What is the average age in the dataset?,37.37,What is the correlation between weight and caloric intake?,0.022284221437291286,What is the highest caloric intake and what is their name?,"(5867, 'Christine')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_015.csv,What is the average age in the dataset?,40.15,What is the correlation between weight and caloric intake?,-0.05674051990824505,What is the highest caloric intake and what is their name?,"(5975, 'Sean')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_016.csv,What is the average age in the dataset?,36.69,What is the correlation between weight and caloric intake?,0.06637169353282249,What is the highest caloric intake and what is their name?,"(5703, 'Tina')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_017.csv,What is the average age in the dataset?,40.85,What is the correlation between weight and caloric intake?,0.0018051551634760117,What is the highest caloric intake and what is their name?,"(5997, 'Brandon')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_018.csv,What is the average age in the dataset?,39.37,What is the correlation between weight and caloric intake?,0.07633905929367799,What is the highest caloric intake and what is their name?,"(5912, 'Richard')",What is the highest age with a caloric intake less than 2000?,68
./datasets/csv/data_file_019.csv,What is the average age in the dataset?,41.06,What is the correlation between weight and caloric intake?,0.19843158933202132,What is the highest caloric intake and what is their name?,"(5976, 'Matthew')",What is the highest age with a caloric intake less than 2000?,68
./datasets/csv/data_file_020.csv,What is the average age in the dataset?,37.83,What is the correlation between weight and caloric intake?,-0.049051891921814285,What is the highest caloric intake and what is their name?,"(5937, 'Donna')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_021.csv,What is the average age in the dataset?,37.31,What is the correlation between weight and caloric intake?,0.013130839254373453,What is the highest caloric intake and what is their name?,"(5991, 'Ashley')",What is the highest age with a caloric intake less than 2000?,68
./datasets/csv/data_file_022.csv,What is the average age in the dataset?,41.67,What is the correlation between weight and caloric intake?,0.00981759809423149,What is the highest caloric intake and what is their name?,"(5949, 'Julia')",What is the highest age with a caloric intake less than 2000?,67
./datasets/csv/data_file_023.csv,What is the average age in the dataset?,40.28,What is the correlation between weight and caloric intake?,0.02180627126002482,What is the highest caloric intake and what is their name?,"(5990, 'Joe')",What is the highest age with a caloric intake less than 2000?,69
./datasets/csv/data_file_024.csv,What is the average age in the dataset?,39.57,What is the correlation between weight and caloric intake?,0.11812516595544478,What is the highest caloric intake and what is their name?,"(5984, 'Debbie')",What is the highest age with a caloric intake less than 2000?,66
./datasets/csv/data_file_025.csv,What is the average age in the dataset?,42.93,What is the correlation between weight and caloric intake?,0.021281537363599116,What is the highest caloric intake and what is their name?,"(5807, 'Frank')",What is the highest age with a caloric intake less than 2000?,67
./datasets/csv/data_file_026.csv,What is the average age in the dataset?,40.99,What is the correlation between weight and caloric intake?,0.09669466653875054,What is the highest caloric intake and what is their name?,"(5850, 'Hector')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_027.csv,What is the average age in the dataset?,43.78,What is the correlation between weight and caloric intake?,-0.18919762127924727,What is the highest caloric intake and what is their name?,"(5979, 'Kevin')",What is the highest age with a caloric intake less than 2000?,68
./datasets/csv/data_file_028.csv,What is the average age in the dataset?,38.7,What is the correlation between weight and caloric intake?,0.00924488429719559,What is the highest caloric intake and what is their name?,"(5932, 'Sarah')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_029.csv,What is the average age in the dataset?,40.92,What is the correlation between weight and caloric intake?,0.005189354068205332,What is the highest caloric intake and what is their name?,"(5907, 'Rachel')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_030.csv,What is the average age in the dataset?,39.96,What is the correlation between weight and caloric intake?,0.1215894921928984,What is the highest caloric intake and what is their name?,"(6000, 'Kim')",What is the highest age with a caloric intake less than 2000?,63
./datasets/csv/data_file_031.csv,What is the average age in the dataset?,40.63,What is the correlation between weight and caloric intake?,0.04685393179297667,What is the highest caloric intake and what is their name?,"(5974, 'Rosa')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_032.csv,What is the average age in the dataset?,36.31,What is the correlation between weight and caloric intake?,0.08627097192980561,What is the highest caloric intake and what is their name?,"(5979, 'Kevin')",What is the highest age with a caloric intake less than 2000?,70
./datasets/csv/data_file_033.csv,What is the average age in the dataset?,37.84,What is the correlation between weight and caloric intake?,-0.02594909540665139,What is the highest caloric intake and what is their name?,"(5984, 'Janet')",What is the highest age with a caloric intake less than 2000?,69
