Name,Age,Height,Weight,Exercise/week,Caloric Intake
Steve,18,82.38,248.21,12,5761
Adrian,16,72.98,202.26,3,2813
Bryan,66,59.74,158.72,3,960
Jonathan,49,69.05,115.21,4,3893
Pedro,26,79.97,137.97,7,4869
Scott,65,77.62,104.73,11,1521
Julio,28,61.19,241.03,1,4111
Matt,50,64.15,285.71,14,1616
Patrick,61,67.76,91.99,5,3518
Jay,56,59.53,286.06,6,3009
Richard,25,77.81,227.49,8,2533
Adam,26,62.71,139.71,9,2869
Thomas,22,74.88,151.27,2,3221
Charles,17,79.72,152.09,1,3953
Peter,41,60.27,202.68,14,1339
Frank,14,65.33,169.36,14,1490
Dan,50,73.55,181.01,12,2034
Hector,28,67.86,170.93,1,5586
Javier,27,70.13,183.58,13,4875
Greg,10,60.07,171.91,11,4436
Omar,26,76.12,260.02,11,1139
Fernando,47,81.36,182.09,1,2783
James,60,78.41,104.86,10,4995
Luis,67,79.19,188.18,10,3387
Mike,52,77.54,178.16,8,4513
Rafael,36,67.97,277.68,4,3655
Christian,48,70.13,134.28,13,2337
William,39,83.72,297.07,5,4668
Tyler,24,78.68,149.97,6,1766
Joel,67,76.91,267.51,5,4598
Ricardo,18,80.98,293.38,8,3111
Sergio,36,78.29,203.45,8,5114
Angel,61,79.11,222.14,8,4609
Eduardo,22,61.6,118.47,14,3089
Mario,27,71.56,168.08,11,2974
Alex,36,73.21,254.29,11,2704
Jordan,24,82.5,262.44,2,1130
Sam,42,67.05,221.51,2,3657
Justin,57,73.67,139.94,2,1778
Aaron,58,59.05,89.49,7,1774
John,36,59.14,97.24,8,1659
Jason,37,82.48,211.02,1,1830
Roberto,66,76.76,176.59,2,1637
Victor,36,78.18,265.69,2,2304
Martin,21,72.99,142.63,14,1373
Christopher,12,66.17,198.23,4,5247
Ben,16,63.48,241.48,10,1370
Brandon,26,59.81,120.38,13,4038
Andrea,22,59.9,80.73,0,1258
Jeff,66,58.7,249.95,11,3016
Carol,46,59.21,275.79,5,5552
Jasmine,64,83.22,143.38,13,4344
Donna,35,63.49,211.76,4,5657
Sandy,64,78.13,136.27,6,2108
Amanda,28,63.91,129.89,11,5313
Tiffany,56,61.6,203.01,2,2142
Tina,67,78.95,212.9,4,3231
Rebecca,26,60.62,206.66,0,1541
Norma,17,75.09,78.01,10,2147
Erika,50,60.6,240.69,10,5252
Veronica,39,72.68,237.7,1,5258
Diane,37,67.86,291.16,6,1907
Alicia,32,76.59,254.9,1,2907
Taylor,57,76.97,159.07,6,2438
Samantha,19,71.5,164.57,2,5162
Kayla,18,58.55,80.07,11,1788
Karen,43,65.53,277.13,0,5610
Barbara,41,77.37,253.55,10,5472
Laura,67,63.55,91.19,1,5199
Leslie,38,60.83,202.06,10,1236
Kelly,63,67.93,161.37,8,5810
Judy,51,71.39,137.61,8,5612
Kathy,14,76.61,125.17,10,4093
Isabel,23,79.45,171.22,9,3862
Pamela,35,72.04,78.37,9,4519
Mary,57,80.23,292.0,10,2416
Marie,33,79.06,236.28,13,4215
Lisa,59,68.09,237.42,5,3429
Sonia,11,71.33,276.93,4,5690
Katie,14,76.35,289.99,10,5608
Vanessa,43,70.18,104.78,8,1721
Diana,51,70.14,268.18,13,2518
Susan,16,59.19,182.18,13,4756
Blanca,17,80.66,263.5,7,1288
Cindy,37,75.96,209.13,6,5507
Kimberly,69,73.64,253.52,12,3917
Elizabeth,14,77.95,256.19,7,5143
Claudia,43,77.27,254.16,4,1497
Amber,51,79.67,232.99,5,5524
Debbie,63,81.77,288.99,12,5984
Martha,65,64.18,122.12,3,5046
Liz,32,77.48,290.66,3,5475
Nancy,42,61.54,133.31,5,4444
Angela,54,77.16,268.78,12,5695
Jessica,35,70.39,272.36,14,1434
Sarah,59,62.86,206.18,0,3329
Angie,36,76.64,169.31,10,5887
Lauren,58,58.4,120.27,1,4364
Emma,41,61.39,167.56,3,2850
Ana,47,83.24,175.85,1,3920
