Name,Age,Height,Weight,Exercise/week,Caloric Intake
Oscar,14,77.91,212.63,5,5564
Luis,67,75.4,145.19,4,3018
Michael,50,83.0,103.5,14,4169
Brandon,28,67.17,257.17,3,2713
Adam,33,61.89,168.06,5,5327
Victor,34,75.04,80.59,10,2858
Javier,28,83.11,262.27,7,5522
Mark,57,66.54,248.08,4,5691
Frank,55,70.59,168.76,12,5660
Sergio,59,62.42,220.54,4,2539
Jacob,11,67.26,92.65,2,1142
Brian,59,78.26,278.13,11,4253
Anthony,15,71.54,176.91,9,1213
Jay,22,73.87,164.4,10,5208
Gabriel,32,73.19,167.33,0,4594
Alejandro,11,80.61,100.82,11,1033
Rafael,58,69.55,216.15,5,5259
Tyler,22,82.24,168.56,12,4602
Ryan,58,61.78,246.48,6,5612
Jesus,38,61.43,205.52,3,2060
Mike,51,69.94,163.66,1,1648
Sean,33,61.05,226.07,6,2289
Thomas,49,58.91,269.26,1,3778
Christian,66,60.31,224.83,13,1619
William,60,68.91,208.72,2,2643
Patrick,61,69.78,128.52,2,1392
Jorge,65,58.87,250.06,0,5566
Bob,43,80.42,234.54,10,4303
Jonathan,50,78.22,219.3,9,3215
George,12,69.84,231.66,12,3587
Jim,64,61.79,280.45,10,5681
Stephen,63,80.17,279.31,8,2215
Ricardo,60,80.21,297.75,2,5815
Joshua,43,64.32,270.64,11,1750
Martin,31,81.14,201.25,12,5389
Ben,11,63.06,226.79,1,4870
Antonio,36,65.0,213.36,8,5133
Mario,46,83.32,128.23,6,1384
Adrian,54,79.48,230.21,8,3229
Kyle,62,66.35,271.15,7,5496
Dan,40,81.07,113.53,10,4098
Raul,59,60.35,216.26,0,3446
Joseph,31,71.6,276.89,6,4953
Robert,31,63.38,119.23,2,2672
Steven,22,72.76,123.96,5,2726
Nick,31,82.3,194.48,7,4307
John,57,81.22,114.11,12,4028
Eduardo,63,58.19,159.84,6,2150
Francisco,37,63.92,161.78,8,5355
Richard,54,75.76,131.58,6,5188
Crystal,18,63.83,247.72,1,3974
Judy,36,67.34,131.49,13,4122
Jackie,11,72.97,298.37,14,1293
Barbara,52,81.87,246.99,13,1332
Brittany,14,64.94,212.75,7,4515
Lori,20,76.25,242.92,9,4789
Jasmine,68,63.86,255.46,6,1606
Heather,13,67.02,138.78,5,4878
Natalie,13,58.78,104.31,14,1174
Erica,20,65.87,107.11,4,2142
Jennifer,62,71.97,133.49,10,2943
Amy,45,75.0,106.38,11,3690
Cheryl,15,61.93,179.91,8,3167
Shannon,39,64.68,188.76,0,2361
Wendy,43,79.56,199.6,7,1403
Nancy,66,82.23,195.2,0,5275
Sarah,51,83.59,78.56,5,2590
Erika,53,60.4,118.56,3,2601
Pamela,51,66.33,237.31,0,2670
Paula,44,70.17,281.37,11,2027
Brenda,68,70.22,277.02,5,3573
Veronica,29,65.81,276.48,12,3929
Kelly,17,70.88,79.27,6,4871
Jessica,48,70.36,263.23,11,4048
Sandra,10,72.04,254.21,5,4137
Amber,67,82.68,77.84,12,1393
Sara,64,60.98,265.83,3,2202
Mary,31,68.04,147.69,10,2629
Norma,47,61.54,270.12,10,4891
Carol,55,72.21,145.57,9,5196
Erin,55,81.23,254.97,6,3071
Blanca,23,65.82,183.11,7,4964
Michelle,34,72.61,164.04,1,2646
Ashley,59,77.56,207.12,5,5936
Rebecca,43,82.04,278.97,6,5459
Carmen,26,82.22,150.27,11,1052
Claudia,15,63.96,181.45,13,5850
Teresa,51,69.41,136.02,0,3807
Angela,45,73.78,269.92,9,5072
Lauren,60,79.25,248.12,9,2964
Christina,10,74.5,240.01,5,1351
Marie,40,67.33,232.0,3,4644
Julia,58,58.3,99.44,2,2736
Cynthia,20,74.98,255.62,14,2138
Stephanie,42,70.24,169.13,4,4577
Christine,53,70.43,125.89,9,2424
Nicole,32,60.73,226.54,9,5737
Hannah,62,74.96,194.06,9,3028
Sharon,21,71.59,254.75,0,5452
Victoria,45,76.57,199.65,3,1400
