Name,Age,Height,Weight,Exercise/week,Caloric Intake
Ben,56,70.37,260.05,3,5618
Patrick,40,79.68,255.36,10,5368
Joshua,11,61.24,197.7,2,1144
Adrian,10,58.82,162.87,0,1913
Sean,22,68.15,165.99,9,5452
Christian,64,72.59,205.82,10,956
Tom,61,61.52,132.41,10,3498
Alejandro,33,64.06,295.46,9,5347
Michael,43,74.59,177.96,14,5082
Brian,13,64.64,124.62,2,3236
Justin,55,63.55,114.85,13,1560
Eduardo,20,59.5,101.84,4,1826
Andrew,37,68.03,196.51,4,5115
Steven,56,76.19,197.44,12,3864
Stephen,42,65.42,89.93,14,1464
Cesar,41,64.57,290.16,5,2240
Manuel,31,80.32,79.39,5,4816
Miguel,28,67.63,258.73,14,4867
Rafael,58,82.7,102.12,11,3020
Gary,17,74.72,283.33,13,2597
Tim,10,67.17,226.65,3,1392
Jim,40,64.46,263.61,4,5017
Jay,33,61.45,286.25,9,5908
Julio,68,58.96,241.42,10,2088
Mario,56,60.52,270.3,10,1384
Joseph,48,82.94,149.5,7,4227
Francisco,66,60.87,159.32,7,1810
Scott,60,61.32,155.46,9,3263
Alex,66,76.43,250.95,10,2282
Bryan,51,61.6,174.49,1,3842
Raul,19,65.98,247.02,5,3109
Thomas,35,77.97,179.01,14,1309
Joel,29,65.39,213.55,7,5014
Jacob,49,73.71,150.52,10,4259
Josh,55,67.44,87.59,11,1001
Tyler,31,77.81,95.48,11,2015
Eric,38,77.14,88.34,0,3117
Jose,52,61.28,104.09,1,3480
Charles,40,70.11,113.58,11,5551
Chris,28,81.71,188.38,11,3832
George,25,79.45,248.45,7,4934
Joe,53,72.8,186.69,1,4411
Anthony,27,76.56,108.42,0,5998
Juan,52,67.27,133.39,10,3051
Roberto,25,64.69,239.73,0,1071
Andrea,55,77.31,115.49,13,3245
Bob,58,67.73,169.02,10,5802
Kyle,64,76.01,163.8,10,5251
Christopher,36,72.56,232.4,11,4618
William,44,83.27,172.79,11,4848
Jackie,64,82.33,75.62,4,1944
Hannah,58,69.76,171.84,7,3149
Diana,12,60.17,170.73,0,3774
Erica,51,62.25,206.66,0,5670
Yolanda,37,78.3,290.76,8,4720
Linda,59,83.3,134.1,1,1929
Nancy,40,78.13,162.13,9,5742
Amanda,21,68.65,228.02,5,4685
Tina,46,65.57,163.75,3,2312
Barbara,41,76.26,227.54,4,2100
Tiffany,51,61.0,138.77,11,1961
Paula,36,66.56,210.1,10,4111
Mary,33,61.91,220.28,11,4129
Sara,26,68.7,143.48,1,3021
Megan,41,83.79,111.85,3,2683
Veronica,16,77.11,203.79,3,3681
Kelly,32,77.02,137.63,2,4132
Brittany,46,80.76,147.7,6,2654
Norma,49,58.11,159.7,14,2654
Lauren,33,74.63,160.36,0,5957
Kayla,43,76.98,216.35,10,4199
Erin,40,71.37,119.33,0,1812
Jennifer,31,74.91,198.75,1,5755
Emma,62,78.56,187.0,11,4933
Danielle,25,61.37,162.71,14,1765
Ana,34,82.63,177.68,0,3653
Sandy,41,81.43,154.58,12,2212
Jenny,43,61.52,129.55,5,4908
Emily,35,76.63,99.73,7,3657
Cynthia,48,74.8,273.33,6,1415
Rosa,50,62.88,200.04,2,3835
Natalie,37,83.2,263.24,9,5827
Lori,34,71.34,185.86,4,1604
Amy,46,63.5,129.02,1,4441
Kim,23,75.65,144.11,13,3900
Claudia,50,74.16,218.91,12,5234
Leslie,36,77.75,232.71,13,3079
Adriana,29,63.56,230.21,0,1831
Crystal,20,73.79,161.81,2,2807
Patricia,56,68.26,224.74,9,2208
Anna,56,60.57,201.62,12,1804
Christina,22,63.93,280.22,13,2942
Donna,47,73.29,282.97,11,1623
Taylor,61,63.38,156.5,11,3017
Denise,51,65.49,101.15,11,1248
Melissa,68,83.34,86.29,13,1113
Angela,39,61.04,99.75,10,4741
Nicole,38,70.7,214.64,0,1336
Teresa,16,72.95,269.99,4,4350
Heather,38,83.02,224.65,0,3780
